COLUMN01,COLUMN02,COLUMN03,COLUMN04,COLUMN05,COLUMN06,COLUMN07,COLUMN08,COLUMN09,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41,COLUMN42,COLUMN43,COLUMN44,COLUMN45,COLUMN46,COLUMN47,COLUMN48,COLUMN49,COLUMN50,COLUMN51,COLUMN52,COLUMN53,COLUMN54,COLUMN55
18044,000009.SZ,93145000,139600,139700,138000,138400,138500,138600,138700,138800,138900,139000,139100,139200,139300,139400,5400,12800,26800,5000,16000,7100,14300,1400,1300,3700,138400,138300,138200,138100,138000,137900,137800,137700,137600,137500,3200,8600,84500,32100,51300,29300,26700,10700,23200,16900,1256300,17463444,1534200,5781860,153600,125600,135200,147700
18576,000009.SZ,93148000,139600,139700,138000,138500,138600,138700,138800,138900,139000,139100,139200,139300,139400,139500,2500,26800,5000,16000,7100,14300,1400,1300,3700,3300,138500,138400,138300,138200,138100,138000,137900,137800,137700,137600,8300,7000,10900,82800,32100,53600,26300,26700,10700,23200,1276800,17747472,1556900,5768060,153600,125600,135300,147700
19070,000009.SZ,93151000,139600,139700,138000,138600,138700,138800,138900,139000,139100,139200,139300,139400,139500,139600,26800,5000,16000,7200,14300,1400,1300,3700,3300,2500,138500,138300,138200,138100,138000,137900,137800,137700,137600,137500,5000,15600,89800,32900,53600,26300,26700,10700,23400,17100,1314700,18272094,1567900,5766360,153600,125600,135300,147800
19555,000009.SZ,93154000,139600,139700,137900,138500,138500,138600,138700,138800,138900,139000,139100,139200,139400,139500,1700,32700,23000,5000,16000,5900,13000,1400,6600,3300,138100,138000,137900,137800,137700,137600,137500,137400,137300,137200,1300,4000,5800,26700,10700,23400,17100,27000,23000,6900,1559000,21647237,1386500,5788760,153600,125600,134900,147700
20065,000009.SZ,93157000,139600,139700,137900,138100,138300,138500,138600,138700,138800,138900,139000,139100,139200,139400,200,700,30600,25100,5000,16000,17900,13000,1400,6600,138100,138000,137900,137800,137700,137600,137500,137400,137300,137200,1600,5500,5800,27400,10700,23400,17100,4200,23000,6900,1569700,21795268,1372800,5816960,153600,125600,134800,147700
20555,000009.SZ,93200000,139600,139700,137900,138100,138100,138400,138500,138600,138700,138800,138900,139000,139100,139200,4800,3300,3700,51900,25100,5000,16000,17800,13000,1400,138000,137900,137800,137700,137600,137500,137400,137300,137200,137100,6000,5900,27400,10700,23400,17100,4200,23000,6900,17700,1586200,22023529,1378800,5871260,153600,125600,134800,147700
21077,000009.SZ,93203000,139600,139700,137900,138100,138100,138400,138500,138600,138700,138800,138900,139000,139100,139200,8200,3300,4700,53600,25100,5000,16000,17800,13000,1400,138000,137900,137800,137700,137600,137500,137400,137300,137200,137100,8100,5900,27400,10700,23400,21600,4200,23000,6400,17700,1593100,22118818,1404200,5892960,153600,125600,134900,147700
21547,000009.SZ,93206000,139600,139700,137900,138000,138400,138500,138600,138700,138800,138900,139000,139100,139200,139400,5800,4700,54100,24200,5000,16000,17800,13000,1400,6600,138100,138000,137900,137800,137700,137600,137500,137400,137300,137200,7500,29200,10000,27400,10700,23400,21600,4200,23000,6400,1648500,22883767,1439300,5910160,153600,125600,135000,147700
22058,000009.SZ,93209000,139600,139700,137900,138100,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,3500,500,3900,54100,24200,5000,16000,18000,13000,1400,138100,138000,137900,137800,137700,137600,137500,137400,137300,137200,5000,29600,12000,29900,10700,23400,21900,4200,23000,6400,1692000,23484722,1449700,5913560,153600,125600,135000,147700
22558,000009.SZ,93212000,139600,139700,137900,138100,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,3300,1200,74400,54500,24200,15000,16000,18000,13000,1400,138100,138000,137900,137800,137700,137600,137500,137400,137300,137200,3100,39100,15000,29900,10700,23100,21900,4200,23000,6400,1699100,23582777,1462400,5996560,153600,125600,135000,147600
23058,000009.SZ,93215000,139600,139700,137800,137800,137900,138000,138100,138200,138300,138400,138500,138600,138700,138800,800,16900,34600,1100,3700,1200,75600,59500,24200,15000,137800,137700,137600,137500,137400,137300,137200,137100,137000,136900,12600,10800,23300,21900,2200,23000,6400,17700,110600,5700,1789000,24822943,1388200,6055560,153600,125600,134800,147500
23546,000009.SZ,93218000,139600,139700,137700,138000,138000,138100,138200,138300,138400,138500,138600,138700,138800,138900,1100,39500,1100,3700,3000,75500,59500,24200,15000,16000,137900,137700,137600,137500,137400,137300,137200,137100,137000,136900,200,4200,23700,36900,2200,23000,6400,17700,110600,5700,1848200,25639242,1390700,6057660,153600,125600,134800,147500
24064,000009.SZ,93221000,139600,139700,137700,137900,138100,138200,138300,138400,138500,138600,138700,138800,138900,139000,37000,1100,3700,3000,75200,54500,22100,15000,16000,18000,138000,137900,137800,137700,137600,137500,137400,137300,137200,137100,2000,3400,200,4200,24700,37000,2200,23000,6400,17700,1852200,25694432,1402700,6048560,153600,125600,134800,147500
24549,000009.SZ,93224000,139600,139700,137700,137900,138000,138100,138200,138300,138400,138500,138600,138700,138800,138900,5900,38800,1200,3700,3000,75200,54500,22100,15700,16000,137700,137600,137500,137400,137300,137200,137100,137000,136900,136800,5200,24700,37000,2200,23000,6400,18000,111600,5700,29000,1864400,25862678,1406400,6048860,153600,125600,134800,147500
25048,000009.SZ,93227000,139600,139700,137700,138000,138000,138100,138200,138300,138400,138500,138600,138700,138800,138900,6000,35500,1200,2400,3000,75200,54500,22100,15700,16000,137800,137700,137600,137500,137400,137300,137200,137100,137000,136900,1200,24400,31900,37200,2300,23000,6400,18000,113500,5700,1890000,26215792,1447200,6047160,153600,125600,134800,147500
25566,000009.SZ,93230000,139600,139700,137700,137800,138000,138100,138200,138300,138400,138500,138600,138700,138800,138900,9300,34900,5200,2400,3000,74200,54100,22100,15700,16000,137800,137700,137600,137500,137400,137300,137200,137100,137000,136900,5400,19500,31900,37200,4300,23000,6400,18000,115000,5700,1906600,26444528,1454300,6061160,153600,125600,134900,147500
26037,000009.SZ,93233000,139600,139700,137700,137700,137900,138000,138100,138200,138300,138400,138500,138600,138700,138800,900,19400,37300,5200,2400,3000,74200,54100,22100,15700,137800,137700,137600,137500,137400,137300,137200,137100,137000,136900,900,28400,32400,37200,4300,23100,6400,19000,117300,5700,1920200,26631971,1464800,6068060,153600,125600,134900,147500
26557,000009.SZ,93236000,139600,139700,137700,137700,138000,138100,138200,138300,138400,138500,138600,138700,138800,138900,2400,37300,5000,2400,3000,74200,54100,22100,15700,17400,137900,137800,137700,137600,137500,137400,137300,137200,137100,137000,700,500,30200,33400,37200,4300,22100,6600,19000,123200,1946400,26993381,1473200,6049160,153600,125600,134900,147500
27042,000009.SZ,93239000,139600,139700,137700,138000,138000,138100,138200,138300,138400,138500,138600,138700,138800,138900,200,36600,5000,2400,3000,74200,54100,22100,15700,17400,137900,137800,137700,137600,137500,137400,137300,137200,137100,137000,1300,4700,38900,53300,39000,4300,22100,5600,20500,123800,1953700,27094070,1531800,6064160,153600,125600,134900,147500
27556,000009.SZ,93242000,139600,139700,137700,137700,137800,137900,138000,138100,138200,138300,138400,138500,138600,138700,10000,13500,7100,35800,5000,2400,3000,74200,54100,22100,137700,137600,137500,137400,137300,137200,137100,137000,136900,136800,40700,54000,39000,4300,22100,5600,20500,123800,5700,28900,1977700,27424833,1531100,6094660,153600,125600,134900,147500
28025,000009.SZ,93245000,139600,139700,137700,137700,137800,137900,138000,138100,138200,138300,138400,138500,138600,138700,11800,20200,8900,35800,5000,2400,8000,74200,54100,22100,137700,137600,137500,137400,137300,137200,137100,137000,136900,136800,46300,58600,40300,4300,22100,5900,22300,123900,5700,28900,1997600,27699067,1552000,6112660,153600,125600,134900,147400
28549,000009.SZ,93248000,139600,139700,137700,137700,137900,138000,138100,138200,138300,138400,138500,138600,138700,138800,21900,15300,35800,5000,2400,8200,74200,54100,1900,15700,137700,137600,137500,137400,137300,137200,137100,137000,136900,136800,71700,58600,40300,4300,22100,5900,22300,125100,6400,28900,2015400,27944320,1627300,6092960,153600,125600,135000,147500
29021,000009.SZ,93251000,139600,139700,137700,137700,137800,137900,138000,138100,138200,138300,138400,138500,138600,138700,500,59400,14900,36100,5000,2400,8200,900,54100,1900,137700,137600,137500,137400,137300,137200,137100,137000,136900,136800,70700,39700,44600,5800,22100,5600,22800,127300,6400,26000,2029700,28141371,1619100,6058660,153600,125600,135000,147500
29548,000009.SZ,93254000,139600,139700,137700,137700,137700,137900,138000,138100,138200,138300,138400,138500,138600,138700,17600,64100,14900,36100,5000,2400,8200,900,54100,1900,137600,137500,137400,137300,137200,137100,137000,136900,136800,136700,41700,45100,4600,22100,5600,23100,128200,6400,26500,1600,2124700,29449696,1560800,6166260,153600,125600,134900,147400
30049,000009.SZ,93257000,139600,139700,137500,137700,137700,137800,137900,138000,138100,138200,138300,138400,138500,138600,3000,3400,63000,14900,36100,5000,2400,8200,900,53600,137500,137400,137300,137200,137100,137000,136900,136800,136700,136600,34500,4600,22100,5600,23100,129600,11100,26400,1600,24700,2201500,30506602,1527000,6150460,153600,125600,134800,147500
30546,000009.SZ,93300000,139600,139700,137500,137600,137700,137800,137900,138000,138100,138200,138300,138400,138500,138600,3500,2300,63000,18600,36100,5000,2400,8200,900,24600,137500,137400,137300,137200,137100,137000,136900,136800,136700,136600,28700,4600,22200,5600,24700,129800,11100,26400,1600,24700,2216800,30717093,1525300,6152460,153600,125600,134800,147500
31032,000009.SZ,93303000,139600,139700,137500,137600,137900,138000,138100,138200,138300,138400,138500,138600,138700,138800,63000,18600,36100,5000,2400,8200,1300,24600,200,15700,137600,137500,137400,137300,137200,137100,137000,136900,136800,136700,11900,29800,10700,22900,5600,24100,128800,11100,37900,1600,2240500,31043299,1519800,6156060,153600,125600,134800,147500
31532,000009.SZ,93306000,139600,139700,137500,138200,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,2400,8200,1300,24600,200,15700,17400,20200,13300,1400,138200,138000,137900,137700,137600,137500,137400,137300,137200,137100,17800,3200,6500,3900,5900,30100,12200,24200,5600,27100,2358000,32664332,1558500,6042160,153600,125600,134800,147700
32042,000009.SZ,93309000,139600,139700,137500,137600,138600,138700,138800,138900,139000,139100,139200,139400,139500,139600,200,17300,15700,17400,20200,13300,1400,3000,4800,2000,138200,138000,137700,137600,137500,137400,137300,137200,137100,137000,700,1900,16900,6200,35100,12200,24200,5600,27200,123300,2402500,33279305,1554000,6025760,153600,125600,134800,147700
32542,000009.SZ,93312000,139600,139700,137500,138500,138500,138600,138700,138800,138900,139000,139100,139200,139400,139500,500,1100,17300,15700,17400,20200,13300,1400,3000,4400,138300,138200,138100,138000,137900,137800,137700,137600,137500,137400,1300,7300,1700,1900,200,200,26900,9600,42400,13600,2409900,33381602,1601100,6028860,153600,125600,134900,147700
